kernel,pair_type,similarity
Linear,Same class,0.49753922314890864
Linear,Different class,4.618796260663574
Linear,Same class,6.006519884732985
Linear,Different class,-5.953390322418345
Linear,Different class,6.129197551891541
Linear,Same class,1.9329576168942524
Linear,Same class,-4.598217427871422
Linear,Different class,-3.1081705714259655
Linear,Different class,-16.19466563612631
Linear,Different class,-13.819700380108054
Linear,Different class,2.347071597892635
Linear,Different class,15.806721123106607
Linear,Different class,7.342018508094166
Linear,Different class,3.9035862364509546
Linear,Same class,4.8419681010345546
Linear,Different class,-1.4053475888572047
Linear,Different class,-11.343846134472134
Linear,Different class,-1.5806800839949218
Linear,Same class,-1.0272934258934883
Linear,Same class,3.6500859326357578
Linear,Same class,5.178723226493851
Linear,Different class,-3.7474040427109654
Linear,Different class,-0.042460105830857346
Linear,Different class,-4.385223913935956
Linear,Different class,-6.366172955990514
Linear,Same class,-9.223629240631105
Linear,Different class,-4.344934688396604
Linear,Same class,-1.2717140584417694
Linear,Different class,6.587025830373775
Linear,Different class,-11.444295714010622
Linear,Different class,-0.05214215642341032
Linear,Same class,7.415166688117087
Linear,Different class,-7.072611860144585
Linear,Different class,9.975022987793274
Linear,Different class,-1.2933326216566738
Linear,Different class,-7.739712802126929
Linear,Different class,3.3252943463841698
Linear,Different class,-1.3239058167621058
Linear,Different class,-7.701049667161584
Linear,Different class,5.054089559019126
Linear,Same class,6.430405560202349
Linear,Different class,5.886530250849304
Linear,Same class,0.04779071162768103
Linear,Same class,-2.174531065755681
Linear,Same class,-14.365391865441422
Linear,Different class,4.668990843300451
Linear,Same class,3.9534566732232737
Linear,Different class,-11.139120537344247
Linear,Different class,4.75322492452275
Linear,Different class,5.113932674534495
Linear,Same class,-0.3556196848411888
